"geom","village_code","village_name","tehsil_code","tehsil_name","district_code","district_name","state_code","state_name","pincode","latitude","longitude","population","female","male","sc_population","st_population","isstarvillage","isstarpocket","issector","istownsector","label_star_pocket","label_star_pocket_pool","label_sector","label_sector_pool","catchment_branch_solid","catchment_branch_tag","catchment_branch_lat","catchment_branch_lng","catchment_branch_dist"
"{""type"":""MultiPolygon"",""coordinates"":[[[[84.137769,26.824024],[84.137679,26.823715],[84.135447,26.821685],[84.13384,26.822303],[84.132452,26.822861],[84.130886,26.823494],[84.129912,26.82375],[84.129474,26.823836],[84.12911,26.823909],[84.128093,26.824077],[84.127411,26.82413],[84.126638,26.824129],[84.124566,26.824027],[84.12229,26.82378],[84.120936,26.823658],[84.119296,26.823797],[84.116187,26.824534],[84.115185,26.824721],[84.114949,26.824923],[84.114418,26.825355],[84.114062,26.825639],[84.113695,26.826042],[84.113442,26.826428],[84.112967,26.827466],[84.112431,26.828698],[84.111587,26.831471],[84.110806,26.834517],[84.110302,26.83641],[84.109876,26.837624],[84.109174,26.838857],[84.107985,26.840228],[84.107315,26.840804],[84.105795,26.841934],[84.104042,26.842945],[84.103014,26.843759],[84.102595,26.84406],[84.103172,26.844808],[84.103505,26.845132],[84.103972,26.845489],[84.104472,26.845803],[84.106718,26.846592],[84.106929,26.846805],[84.107221,26.847399],[84.107929,26.848709],[84.1083,26.849256],[84.108523,26.8495],[84.108815,26.849661],[84.109284,26.849631],[84.110532,26.849422],[84.11085,26.849321],[84.111143,26.849227],[84.112945,26.84851],[84.113285,26.848443],[84.113824,26.848475],[84.115685,26.849091],[84.118672,26.849903],[84.119709,26.850104],[84.120143,26.850097],[84.120616,26.849956],[84.121375,26.849558],[84.121472,26.84901],[84.121562,26.848691],[84.121793,26.848262],[84.121827,26.847848],[84.121658,26.847547],[84.119895,26.846495],[84.11861,26.845521],[84.11783,26.844896],[84.117546,26.84455],[84.117403,26.844165],[84.117407,26.843617],[84.117782,26.841747],[84.117882,26.841384],[84.119183,26.839955],[84.119937,26.839125],[84.121649,26.837463],[84.121967,26.836918],[84.122287,26.836447],[84.122341,26.836143],[84.122079,26.835642],[84.121762,26.835355],[84.121288,26.835096],[84.120754,26.834805],[84.119842,26.834287],[84.118981,26.833501],[84.118398,26.832776],[84.118094,26.83191],[84.117905,26.83082],[84.117932,26.830503],[84.121925,26.829401],[84.122636,26.829299],[84.127753,26.829765],[84.128256,26.829667],[84.128834,26.829404],[84.129653,26.828851],[84.130126,26.828609],[84.131697,26.828117],[84.136054,26.826632],[84.136438,26.826381],[84.137769,26.824024]]]]}",189422,"Mathiamafi Urf Dukhi Ganeshpur",958,"Tamkuhi Raj",189,"Kushinagar",9,"Uttar Pradesh",274303,"26.835894","84.120182",6423,3148,3275,1144,176,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","16.076678615246"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.766002,27.169869],[83.76532,27.168592],[83.764798,27.167158],[83.764213,27.165254],[83.763889,27.164028],[83.763171,27.162417],[83.762702,27.162323],[83.762289,27.162164],[83.7614,27.161709],[83.760052,27.160935],[83.7575,27.159416],[83.754349,27.157693],[83.752912,27.156878],[83.751824,27.156492],[83.749639,27.155777],[83.749189,27.155569],[83.748868,27.155096],[83.748518,27.154234],[83.748171,27.153183],[83.748129,27.152682],[83.747647,27.153485],[83.747285,27.1545],[83.746926,27.155756],[83.746783,27.156075],[83.746605,27.156336],[83.746288,27.156725],[83.745611,27.157428],[83.745008,27.157894],[83.745255,27.163575],[83.745273,27.165727],[83.745127,27.167095],[83.744892,27.168573],[83.745875,27.16948],[83.746252,27.169897],[83.746709,27.170753],[83.747323,27.172158],[83.749565,27.172116],[83.75126,27.172029],[83.752422,27.17178],[83.755014,27.171346],[83.757025,27.17115],[83.75968,27.170708],[83.760715,27.170679],[83.761836,27.170637],[83.76272,27.170516],[83.763224,27.170354],[83.763657,27.17018],[83.764192,27.170081],[83.765705,27.169907],[83.766002,27.169869]]]]}",184101,"Siswa Khurd",945,"Nichlaul",187,"Mahrajganj",9,"Uttar Pradesh",273304,"27.16242","83.755447",2488,1176,1312,570,0,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","36.1737315510403"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.973058,27.157974],[83.970425,27.155171],[83.967146,27.151002],[83.964937,27.146256],[83.964768,27.146011],[83.96304,27.147274],[83.961341,27.148899],[83.960996,27.149115],[83.960616,27.149182],[83.960252,27.149299],[83.959941,27.149502],[83.959424,27.150038],[83.958759,27.150994],[83.958467,27.151522],[83.95823,27.151869],[83.957784,27.152219],[83.957346,27.15242],[83.956175,27.152573],[83.955285,27.152589],[83.952021,27.152518],[83.951635,27.152517],[83.95119,27.152575],[83.95052,27.152716],[83.949699,27.153045],[83.947105,27.154295],[83.948032,27.155145],[83.948783,27.155837],[83.950202,27.157289],[83.951094,27.158268],[83.952008,27.159429],[83.952335,27.159991],[83.952566,27.160623],[83.952737,27.161298],[83.952861,27.162305],[83.952876,27.162947],[83.952733,27.164559],[83.952659,27.165019],[83.952525,27.165857],[83.952269,27.167016],[83.952649,27.16675],[83.95376,27.16607],[83.954529,27.165433],[83.955084,27.164863],[83.956124,27.163545],[83.957143,27.161792],[83.958091,27.160619],[83.958701,27.160058],[83.959455,27.159801],[83.960016,27.159674],[83.961018,27.159637],[83.961475,27.159676],[83.961808,27.15985],[83.962134,27.160032],[83.962562,27.16008],[83.963436,27.160093],[83.965098,27.160035],[83.967858,27.160021],[83.969161,27.159961],[83.96966,27.159861],[83.970469,27.159557],[83.970873,27.159382],[83.971442,27.159057],[83.973058,27.157974]]]]}",188203,"Pakarihawa Mustaqil+ Aht.",955,"Padrauna",189,"Kushinagar",9,"Uttar Pradesh",274801,"27.156513","83.960081",0,0,0,0,0,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","28.1403125778942"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.839128,27.040686],[83.838866,27.040522],[83.837815,27.039864],[83.836623,27.038828],[83.83284,27.036041],[83.830736,27.03439],[83.830098,27.033901],[83.82946,27.033481],[83.828756,27.033191],[83.827807,27.032876],[83.826929,27.032619],[83.826176,27.03251],[83.825461,27.032577],[83.824226,27.032899],[83.822293,27.033806],[83.821196,27.034646],[83.820845,27.034775],[83.820552,27.034919],[83.820146,27.035319],[83.818512,27.036957],[83.817275,27.038023],[83.814574,27.040109],[83.814095,27.040482],[83.81383,27.040763],[83.813759,27.041178],[83.813818,27.041693],[83.814171,27.043311],[83.814342,27.044193],[83.814379,27.044557],[83.814313,27.045059],[83.813393,27.045879],[83.814017,27.046187],[83.814858,27.046718],[83.81534,27.047174],[83.815798,27.047877],[83.816669,27.049877],[83.817065,27.051045],[83.817372,27.052178],[83.817357,27.05305],[83.817224,27.053679],[83.816862,27.054722],[83.818408,27.054301],[83.818843,27.054278],[83.821794,27.0545],[83.822775,27.054768],[83.823191,27.054975],[83.82348,27.055216],[83.825229,27.05796],[83.825808,27.058979],[83.825931,27.059295],[83.826378,27.058733],[83.829048,27.055282],[83.830022,27.054549],[83.830728,27.054308],[83.831388,27.054173],[83.832786,27.053975],[83.836426,27.053661],[83.836726,27.053202],[83.836898,27.052767],[83.837227,27.051123],[83.83731,27.0507],[83.837844,27.049421],[83.83864,27.047626],[83.838738,27.047344],[83.838703,27.046944],[83.838226,27.045358],[83.837831,27.044063],[83.837804,27.043758],[83.837844,27.043449],[83.837965,27.043104],[83.838299,27.042211],[83.839128,27.040686]]]]}",188316,"Kauwasar",955,"Padrauna",189,"Kushinagar",9,"Uttar Pradesh",274305,"27.045902","83.82626",3996,1965,2031,404,553,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","21.7465804553055"
"{""type"":""MultiPolygon"",""coordinates"":[[[[84.032025,26.919745],[84.030886,26.918916],[84.030331,26.91843],[84.029961,26.917937],[84.029444,26.917052],[84.02807,26.914853],[84.026099,26.910896],[84.024742,26.907871],[84.02464,26.9075],[84.024524,26.907094],[84.024482,26.906421],[84.024453,26.905357],[84.024525,26.904712],[84.021937,26.906926],[84.02164,26.907329],[84.020782,26.908814],[84.0202,26.910056],[84.019937,26.911685],[84.01963,26.912741],[84.018751,26.914361],[84.016486,26.918839],[84.015762,26.920095],[84.014502,26.921933],[84.012231,26.925161],[84.011592,26.925836],[84.011172,26.926174],[84.010872,26.926394],[84.01055,26.926665],[84.01015,26.927204],[84.010277,26.927623],[84.010195,26.927987],[84.009259,26.929501],[84.008143,26.93122],[84.00729,26.932501],[84.007093,26.932846],[84.007028,26.933261],[84.007071,26.934045],[84.006999,26.934401],[84.007342,26.934627],[84.007734,26.934843],[84.008137,26.934967],[84.009374,26.93522],[84.010622,26.935627],[84.011094,26.93589],[84.011553,26.936212],[84.011986,26.936485],[84.015112,26.933152],[84.017115,26.931369],[84.018198,26.930154],[84.019655,26.92773],[84.019746,26.9274],[84.019769,26.927104],[84.01981,26.926699],[84.02022,26.926198],[84.022096,26.92464],[84.023077,26.924091],[84.025803,26.922624],[84.02676,26.922261],[84.028491,26.921766],[84.030376,26.920952],[84.031525,26.920355],[84.031944,26.920057],[84.032025,26.919745]]]]}",188579,"Jungle Khirkia",955,"Padrauna",189,"Kushinagar",9,"Uttar Pradesh",274305,"26.920598","84.019512",7285,3535,3750,988,122,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","4.59246761550625"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.588215,27.287259],[83.588234,27.2876],[83.58824,27.287708],[83.588246,27.287813],[83.58833,27.289292],[83.588345,27.289563],[83.588395,27.290451],[83.588593,27.292985],[83.588986,27.293052],[83.593825,27.292894],[83.595676,27.292869],[83.597581,27.292843],[83.597701,27.292842],[83.600943,27.292798],[83.602162,27.292737],[83.602977,27.292664],[83.603282,27.292577],[83.603537,27.292165],[83.603781,27.288052],[83.603806,27.287291],[83.602031,27.287182],[83.593218,27.287212],[83.588215,27.287259]]]]}",184144,"Van Tangia-28",945,"Nichlaul",187,"Mahrajganj",9,"Uttar Pradesh",273162,"27.290117","83.59601",1414,628,786,0,0,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","57.1645505410958"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.64675,27.334452],[83.649425,27.33295],[83.650794,27.33225],[83.651643,27.331973],[83.652079,27.331865],[83.652797,27.331723],[83.65328,27.331629],[83.654478,27.331578],[83.655291,27.331448],[83.65606,27.331229],[83.657022,27.331028],[83.65811,27.330748],[83.659055,27.330445],[83.659581,27.330264],[83.660649,27.329769],[83.660916,27.329658],[83.661272,27.329568],[83.661892,27.329515],[83.662873,27.329562],[83.663339,27.329626],[83.66322,27.329156],[83.662995,27.328012],[83.662115,27.325259],[83.660872,27.321952],[83.660609,27.321192],[83.660503,27.320794],[83.660397,27.320121],[83.660202,27.319433],[83.659868,27.318768],[83.659598,27.318391],[83.658837,27.317409],[83.658415,27.316949],[83.657962,27.316602],[83.656669,27.31653],[83.652106,27.316576],[83.65138,27.316599],[83.651084,27.316665],[83.650749,27.316741],[83.650339,27.31681],[83.64977,27.316848],[83.648098,27.316908],[83.647892,27.317586],[83.647643,27.318293],[83.647161,27.319144],[83.645784,27.320885],[83.645521,27.3211],[83.645494,27.321232],[83.645388,27.32153],[83.645332,27.321828],[83.645335,27.322201],[83.645441,27.322726],[83.64596,27.324947],[83.646134,27.327208],[83.646264,27.327953],[83.6464,27.328364],[83.646938,27.329697],[83.646984,27.33031],[83.64689,27.330833],[83.646736,27.331258],[83.64635,27.332133],[83.646276,27.332452],[83.646276,27.332819],[83.64675,27.334452]]]]}",184015,"Dudhrai",945,"Nichlaul",187,"Mahrajganj",9,"Uttar Pradesh",273304,"27.325491","83.654335",999,497,502,78,0,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","56.7314168026795"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.744052,27.095188],[83.74298,27.093307],[83.742341,27.09211],[83.74135,27.09026],[83.740871,27.088759],[83.740866,27.088464],[83.736733,27.086895],[83.732949,27.085533],[83.7323,27.085898],[83.731894,27.086249],[83.731457,27.086831],[83.731031,27.087565],[83.730741,27.088207],[83.730672,27.08855],[83.730546,27.089263],[83.730454,27.089826],[83.730334,27.090256],[83.730164,27.090586],[83.729845,27.091058],[83.729659,27.09143],[83.729547,27.091842],[83.72945,27.09263],[83.729484,27.093086],[83.729534,27.093436],[83.729691,27.094152],[83.730445,27.094249],[83.731456,27.094575],[83.733819,27.095247],[83.73538,27.095559],[83.736968,27.095885],[83.737333,27.096018],[83.737656,27.09619],[83.738252,27.096753],[83.739922,27.098606],[83.740832,27.098002],[83.741713,27.097548],[83.742832,27.09658],[83.744052,27.095188]]]]}",184127,"Matiaria",945,"Nichlaul",187,"Mahrajganj",9,"Uttar Pradesh",273302,"27.092069","83.736751",1813,867,946,158,4,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","31.7032640039456"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.588215,27.287259],[83.593218,27.287212],[83.602031,27.287182],[83.603806,27.287291],[83.60391,27.284065],[83.603844,27.283643],[83.603531,27.283326],[83.603065,27.283221],[83.597033,27.283489],[83.589699,27.283478],[83.588596,27.283506],[83.588175,27.283679],[83.588215,27.287259]]]]}",184143,"Forest Village-26/27",945,"Nichlaul",187,"Mahrajganj",9,"Uttar Pradesh",273162,"27.285256","83.596042",1548,740,808,196,0,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","56.7580413350856"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.897147,27.28271],[83.896739,27.28195],[83.895785,27.28036],[83.894701,27.278226],[83.894207,27.277659],[83.893273,27.276814],[83.892608,27.276515],[83.892097,27.276428],[83.890537,27.276528],[83.888371,27.276538],[83.887813,27.276477],[83.887471,27.2764],[83.886973,27.276135],[83.885949,27.275498],[83.885153,27.274992],[83.882153,27.272703],[83.880124,27.271326],[83.879556,27.270974],[83.87923,27.270873],[83.878881,27.270822],[83.878534,27.27058],[83.876832,27.269348],[83.876046,27.268898],[83.875327,27.26851],[83.873909,27.270844],[83.871705,27.274275],[83.871174,27.275316],[83.870877,27.275525],[83.870374,27.275841],[83.87209,27.27711],[83.873637,27.278411],[83.87439,27.279161],[83.876355,27.281284],[83.878387,27.283373],[83.879207,27.28424],[83.879601,27.283837],[83.87999,27.283603],[83.880669,27.283294],[83.881501,27.283242],[83.882751,27.283281],[83.883667,27.283326],[83.886801,27.283796],[83.887975,27.284028],[83.892488,27.284224],[83.89377,27.284109],[83.894515,27.28397],[83.89494,27.283844],[83.896087,27.283341],[83.897147,27.28271]]]]}",188170,"Basantpur",955,"Padrauna",189,"Kushinagar",9,"Uttar Pradesh",274802,"27.276375","83.88376",182,88,94,22,8,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","42.4368355502985"
