village_code,village_name,tehsil_code,tehsil_name,district_code,district_name,state_code,state_name,pincode,latitude,longitude,population,male,female,sc_population,st_population,isstarvillage,isstarpocket,issector,istownsector,label_sector,label_sector_pool,label_star_pocket,label_star_pocket_pool,catchment_branch_solid,catchment_branch_tag,catchment_branch_dist,catchment_branch_lat,catchment_branch_lng,geom
76433,Moruchi Jageer,521,Nadoti,107,Karauli,8,Rajasthan,322204,26.616562,76.698102,0,0,0,0,0,,,TRUE,,RJ6861SC03,RJ6861SC03-1,,,6861,RIBG,14.45660296,26.490633,76.7342377,"{""type"":""MultiPolygon"",""coordinates"":[[[[76.707302,26.615864],[76.707238,26.615545],[76.706978,26.615028],[76.706366,26.614017],[76.705702,26.6127],[76.705001,26.611765],[76.704027,26.610611],[76.703575,26.609981],[76.702962,26.609576],[76.701531,26.608593],[76.700263,26.607354],[76.699113,26.606236],[76.697308,26.606265],[76.696958,26.606725],[76.69675,26.607069],[76.696508,26.607485],[76.6958,26.608167],[76.69481,26.609015],[76.694388,26.609239],[76.693613,26.609634],[76.692896,26.610273],[76.692251,26.610883],[76.691499,26.611588],[76.690939,26.612166],[76.690242,26.612818],[76.689738,26.613288],[76.689424,26.613634],[76.689149,26.613891],[76.688903,26.614223],[76.688964,26.614571],[76.689202,26.614937],[76.690041,26.616003],[76.690231,26.616387],[76.690395,26.616671],[76.690507,26.617039],[76.690633,26.617441],[76.690786,26.618065],[76.690907,26.619046],[76.690995,26.619543],[76.691027,26.623061],[76.691435,26.624854],[76.691785,26.626802],[76.693165,26.626728],[76.693658,26.626491],[76.695278,26.626317],[76.69688,26.626055],[76.699013,26.626483],[76.700689,26.626793],[76.701201,26.626889],[76.701757,26.625974],[76.702443,26.624936],[76.702708,26.62428],[76.702962,26.623633],[76.703215,26.623004],[76.70377,26.621927],[76.703991,26.621509],[76.704454,26.620677],[76.704741,26.620016],[76.705176,26.619136],[76.705759,26.618189],[76.70626,26.617276],[76.707302,26.615864]]]]}"
76402,Kaima,521,Nadoti,107,Karauli,8,Rajasthan,322204,26.655096,76.72653,2480,1325,1155,476,672,TRUE,TRUE,,,,,RJ6861SP076437,RJ6861SP076437-2,6861,RIBG,18.30350865,26.490633,76.7342377,"{""type"":""MultiPolygon"",""coordinates"":[[[[76.748281,26.658401],[76.748107,26.657796],[76.747358,26.656918],[76.746164,26.655512],[76.74497,26.654257],[76.743772,26.653143],[76.742867,26.65197],[76.742228,26.651131],[76.741232,26.649879],[76.740301,26.648687],[76.739668,26.647589],[76.738982,26.646713],[76.738247,26.64585],[76.736652,26.644047],[76.736018,26.643217],[76.735301,26.64233],[76.734795,26.64148],[76.734153,26.640688],[76.733608,26.640206],[76.732861,26.639273],[76.732155,26.63841],[76.731746,26.637585],[76.731049,26.636506],[76.730573,26.635914],[76.730137,26.635514],[76.729046,26.634477],[76.728281,26.633134],[76.728233,26.632529],[76.72735,26.633413],[76.725469,26.633442],[76.724231,26.633227],[76.722629,26.633353],[76.720412,26.633459],[76.719614,26.63361],[76.717956,26.633967],[76.71555,26.633892],[76.713517,26.634004],[76.712097,26.633959],[76.710132,26.634308],[76.708903,26.634444],[76.706505,26.634778],[76.70478,26.635205],[76.705038,26.637227],[76.705152,26.640346],[76.705917,26.642909],[76.705863,26.644514],[76.707055,26.646359],[76.707025,26.649128],[76.707891,26.65059],[76.707671,26.651974],[76.707795,26.653356],[76.708486,26.655149],[76.708422,26.659547],[76.708647,26.661012],[76.709113,26.664958],[76.709217,26.667416],[76.709192,26.668318],[76.710044,26.670142],[76.710612,26.670683],[76.711646,26.671227],[76.712348,26.67163],[76.713038,26.672278],[76.713951,26.673293],[76.714255,26.673573],[76.71543,26.673903],[76.716075,26.674266],[76.716595,26.674677],[76.717103,26.675123],[76.717669,26.67569],[76.718283,26.67619],[76.719403,26.676826],[76.719876,26.677036],[76.721079,26.67706],[76.723252,26.677047],[76.725317,26.677266],[76.727215,26.677532],[76.727873,26.677664],[76.729157,26.677086],[76.730647,26.676867],[76.733195,26.676888],[76.733896,26.677227],[76.734541,26.677482],[76.733966,26.675098],[76.734019,26.672443],[76.734601,26.670003],[76.735217,26.668904],[76.735985,26.667773],[76.736476,26.666944],[76.737302,26.666138],[76.738397,26.665225],[76.739371,26.66439],[76.740429,26.663816],[76.74217,26.66284],[76.74504,26.661701],[76.747351,26.661186],[76.74782,26.659917],[76.748281,26.658401]]]]}"
77134,Brahmabad(Rural),526,Gangapur,108,Sawai Madhopur,8,Rajasthan,322201,26.495156,76.711101,598,316,282,292,0,,,,TRUE,,,,,6861,RIBG,2.356812728,26.490633,76.7342377,"{""type"":""MultiPolygon"",""coordinates"":[[[[76.726745,26.494358],[76.72662,26.493717],[76.726119,26.492923],[76.725853,26.492664],[76.725063,26.492243],[76.724205,26.491901],[76.723439,26.491623],[76.721901,26.491155],[76.720219,26.49071],[76.718431,26.490297],[76.716579,26.489825],[76.714876,26.489429],[76.714023,26.489275],[76.713083,26.489173],[76.710831,26.489031],[76.709441,26.489084],[76.708724,26.489109],[76.708224,26.489109],[76.706984,26.488981],[76.706312,26.489004],[76.705346,26.488965],[76.704288,26.488898],[76.702676,26.488791],[76.701499,26.488785],[76.700663,26.48875],[76.700098,26.488794],[76.699665,26.488781],[76.699381,26.488699],[76.698872,26.488575],[76.698353,26.488488],[76.696732,26.488332],[76.696216,26.488321],[76.695841,26.488367],[76.695457,26.488475],[76.695654,26.488801],[76.69642,26.48965],[76.69694,26.490079],[76.697467,26.490402],[76.69834,26.490792],[76.69925,26.491128],[76.700272,26.491395],[76.701185,26.49152],[76.701882,26.491605],[76.702277,26.491709],[76.70342,26.492119],[76.704802,26.492537],[76.705424,26.492716],[76.706056,26.492966],[76.706733,26.49332],[76.707697,26.49387],[76.708454,26.494302],[76.70894,26.494506],[76.70927,26.494697],[76.709665,26.495012],[76.710051,26.495394],[76.710479,26.495757],[76.711042,26.496104],[76.711806,26.496593],[76.712224,26.496965],[76.712431,26.497383],[76.712513,26.497807],[76.712487,26.498136],[76.712511,26.498491],[76.712664,26.498731],[76.713144,26.499246],[76.71339,26.499489],[76.713526,26.499787],[76.71371,26.500224],[76.714187,26.500669],[76.714535,26.500955],[76.714934,26.501399],[76.715269,26.501991],[76.715826,26.501252],[76.716225,26.500917],[76.716695,26.500613],[76.716991,26.500392],[76.7176,26.499805],[76.717843,26.499587],[76.718265,26.499348],[76.718886,26.499111],[76.720467,26.498637],[76.721204,26.49837],[76.721976,26.498036],[76.723586,26.49725],[76.724439,26.496789],[76.725145,26.496331],[76.725483,26.496037],[76.725733,26.495817],[76.726058,26.4954],[76.726568,26.494718],[76.726745,26.494358]]]]}"
76634,Jahangeerpur,523,Karauli,107,Karauli,8,Rajasthan,322255,26.492201,76.868115,1466,804,662,367,10,,,TRUE,,RJ6861SC09,RJ6861SC09-4,,,6861,RIBG,13.32455444,26.490633,76.7342377,"{""type"":""MultiPolygon"",""coordinates"":[[[[76.877252,26.49562],[76.877034,26.495423],[76.876662,26.495116],[76.876305,26.494698],[76.875391,26.493755],[76.874278,26.492691],[76.873308,26.491596],[76.872225,26.49029],[76.871482,26.489334],[76.870756,26.488483],[76.870378,26.487937],[76.870128,26.487483],[76.869988,26.487197],[76.869128,26.485876],[76.867755,26.483527],[76.867137,26.482668],[76.86665,26.482928],[76.865251,26.484],[76.864048,26.485145],[76.863268,26.485828],[76.862535,26.486448],[76.862089,26.486727],[76.860586,26.48799],[76.858978,26.489372],[76.859313,26.489827],[76.859802,26.490831],[76.859875,26.491193],[76.859907,26.492171],[76.862083,26.493749],[76.864119,26.495106],[76.865995,26.496485],[76.867388,26.497544],[76.868941,26.498707],[76.869672,26.498989],[76.870065,26.499277],[76.871604,26.500642],[76.872409,26.501092],[76.874284,26.501735],[76.875585,26.499184],[76.87679,26.496654],[76.877081,26.496004],[76.877252,26.49562]]]]}"
77116,Sewa,526,Gangapur,108,Sawai Madhopur,8,Rajasthan,322219,26.500648,76.832243,5718,3127,2591,826,3062,,,TRUE,,RJ6861SC08,RJ6861SC08-3,,,6861,RIBG,9.816459924,26.490633,76.7342377,"{""type"":""MultiPolygon"",""coordinates"":[[[[76.856791,26.495439],[76.856449,26.495258],[76.854639,26.493585],[76.850666,26.489375],[76.849991,26.488775],[76.84461,26.484001],[76.84068,26.480106],[76.840202,26.479721],[76.83987,26.479514],[76.838323,26.47893],[76.837502,26.478797],[76.836494,26.478532],[76.835854,26.478242],[76.834104,26.476779],[76.83218,26.474872],[76.830569,26.473256],[76.828637,26.471659],[76.828047,26.471171],[76.827656,26.47187],[76.827228,26.472642],[76.826968,26.473093],[76.826767,26.47338],[76.826469,26.473748],[76.826237,26.474033],[76.825859,26.474669],[76.825244,26.475821],[76.82462,26.476978],[76.824175,26.477803],[76.823821,26.478649],[76.823593,26.479156],[76.82336,26.479671],[76.823138,26.480032],[76.822717,26.480544],[76.822476,26.48097],[76.821892,26.482156],[76.821467,26.482987],[76.821135,26.483713],[76.820939,26.484083],[76.820678,26.484524],[76.820437,26.484859],[76.81968,26.485818],[76.818982,26.486778],[76.818181,26.487824],[76.817737,26.488497],[76.817534,26.489215],[76.817334,26.489683],[76.816925,26.490198],[76.816542,26.49076],[76.816328,26.491162],[76.81618,26.491532],[76.815899,26.492203],[76.815513,26.49315],[76.815088,26.494213],[76.814883,26.494686],[76.814729,26.494985],[76.814226,26.495756],[76.813639,26.496562],[76.813402,26.496951],[76.813263,26.497347],[76.813264,26.497899],[76.813125,26.498224],[76.813055,26.498742],[76.812975,26.499161],[76.812807,26.499523],[76.812598,26.499961],[76.812521,26.500506],[76.812378,26.500942],[76.812271,26.501353],[76.812029,26.501688],[76.811694,26.50228],[76.811489,26.502697],[76.811352,26.503021],[76.811246,26.50351],[76.811154,26.503884],[76.811035,26.504142],[76.810828,26.504435],[76.810354,26.504947],[76.809558,26.506201],[76.809398,26.506576],[76.8094,26.507099],[76.809516,26.50758],[76.809685,26.508505],[76.809801,26.509348],[76.809782,26.509736],[76.810045,26.510359],[76.810108,26.510873],[76.810247,26.511302],[76.810352,26.511608],[76.810469,26.512],[76.810574,26.512315],[76.810771,26.512706],[76.810876,26.513005],[76.810942,26.513421],[76.81097,26.513727],[76.811277,26.514312],[76.812127,26.515602],[76.812226,26.515898],[76.812362,26.51627],[76.812607,26.516769],[76.813125,26.517761],[76.813563,26.518657],[76.813717,26.518995],[76.813799,26.519309],[76.81383,26.519616],[76.813866,26.520259],[76.813858,26.520851],[76.813739,26.52112],[76.813412,26.521481],[76.812984,26.521543],[76.812569,26.521582],[76.812209,26.521699],[76.810988,26.522463],[76.810152,26.523122],[76.809629,26.523413],[76.808816,26.523818],[76.807695,26.524516],[76.808463,26.525807],[76.809018,26.526621],[76.809436,26.527391],[76.809639,26.527836],[76.809879,26.528643],[76.810095,26.529496],[76.810338,26.530126],[76.811054,26.529712],[76.811809,26.529239],[76.812068,26.529105],[76.812479,26.528979],[76.813322,26.528887],[76.814562,26.528805],[76.816107,26.528636],[76.816992,26.528504],[76.818096,26.528401],[76.819837,26.528426],[76.820543,26.528399],[76.821001,26.528255],[76.82181,26.527442],[76.822284,26.527038],[76.822846,26.526631],[76.823546,26.526282],[76.82437,26.525799],[76.825286,26.525289],[76.825576,26.525136],[76.825859,26.525044],[76.826442,26.524925],[76.827154,26.524889],[76.827699,26.524937],[76.828264,26.525044],[76.828859,26.525209],[76.82941,26.525422],[76.830242,26.525771],[76.831129,26.52607],[76.831648,26.526274],[76.832024,26.526356],[76.832935,26.526373],[76.833803,26.526387],[76.834101,26.526478],[76.83446,26.526608],[76.835354,26.526644],[76.836329,26.526642],[76.836951,26.526639],[76.837355,26.526583],[76.838371,26.52634],[76.839636,26.525942],[76.840677,26.525628],[76.841855,26.52532],[76.842861,26.525002],[76.844096,26.524687],[76.844801,26.524483],[76.845438,26.524186],[76.846259,26.523742],[76.847245,26.52317],[76.847824,26.522819],[76.84824,26.522518],[76.848513,26.522265],[76.848766,26.521899],[76.848962,26.521545],[76.849138,26.521146],[76.849218,26.520675],[76.849205,26.519836],[76.84907,26.518268],[76.848993,26.517438],[76.849053,26.516832],[76.849186,26.516079],[76.849375,26.515258],[76.849467,26.514719],[76.849568,26.513653],[76.849626,26.512698],[76.849689,26.510931],[76.849782,26.510367],[76.849961,26.50985],[76.850233,26.509243],[76.850663,26.508675],[76.851151,26.50807],[76.85125,26.507795],[76.851308,26.5074],[76.851337,26.506876],[76.851454,26.506075],[76.85162,26.50544],[76.851825,26.504814],[76.852052,26.504381],[76.852271,26.504041],[76.852658,26.503673],[76.852841,26.503401],[76.853027,26.502845],[76.853402,26.501777],[76.853741,26.500861],[76.854211,26.499859],[76.854933,26.498446],[76.855559,26.497249],[76.856791,26.495439]]]]}"
76395,Hafzabad,521,Nadoti,107,Karauli,8,Rajasthan,322204,26.634545,76.796211,0,0,0,0,0,,TRUE,,,,,RJ6861SP076396,RJ6861SP076396-5,6861,RIBG,17.14831446,26.490633,76.7342377,"{""type"":""MultiPolygon"",""coordinates"":[[[[76.808783,26.624081],[76.808319,26.624256],[76.807804,26.624464],[76.807273,26.624701],[76.806319,26.62511],[76.805519,26.62546],[76.804844,26.625845],[76.804154,26.626254],[76.803816,26.626604],[76.803039,26.627011],[76.801852,26.627431],[76.80106,26.627904],[76.800308,26.628619],[76.799339,26.629054],[76.798209,26.629512],[76.797407,26.629299],[76.795083,26.629343],[76.793246,26.629666],[76.792329,26.630204],[76.791631,26.630661],[76.790923,26.631269],[76.790323,26.631715],[76.79001,26.632212],[76.789326,26.633293],[76.788868,26.63364],[76.788422,26.634072],[76.787812,26.634737],[76.78732,26.635205],[76.786692,26.635757],[76.786142,26.636182],[76.785361,26.636675],[76.784628,26.637132],[76.784108,26.637518],[76.783639,26.637716],[76.784485,26.639132],[76.784796,26.639663],[76.786667,26.641543],[76.787121,26.642057],[76.788134,26.64272],[76.789296,26.643428],[76.790117,26.64398],[76.791256,26.644633],[76.791963,26.644914],[76.792584,26.645009],[76.793083,26.644454],[76.794014,26.644032],[76.795111,26.643425],[76.795504,26.643086],[76.796035,26.642594],[76.797169,26.641983],[76.798196,26.641341],[76.798545,26.640938],[76.799029,26.639631],[76.799214,26.638971],[76.799798,26.638561],[76.80125,26.638057],[76.802729,26.638173],[76.805102,26.638439],[76.805634,26.638017],[76.805932,26.636669],[76.806352,26.633453],[76.807324,26.62995],[76.807978,26.628031],[76.808211,26.626695],[76.808505,26.625656],[76.808783,26.624081]]]]}"
76377,Bara Wajidpur,521,Nadoti,107,Karauli,8,Rajasthan,322215,26.694582,76.741885,1762,958,804,285,0,,,TRUE,,RJ6861SC02,RJ6861SC02-0,,,6861,RIBG,22.69083815,26.490633,76.7342377,"{""type"":""MultiPolygon"",""coordinates"":[[[[76.74923,26.694172],[76.749043,26.69307],[76.748404,26.691252],[76.748394,26.689798],[76.748426,26.688542],[76.748337,26.687977],[76.747553,26.685374],[76.747071,26.683831],[76.746889,26.682717],[76.746745,26.68108],[76.746447,26.679378],[76.745827,26.676914],[76.745174,26.674556],[76.744777,26.674551],[76.742875,26.675102],[76.741036,26.675552],[76.739723,26.675938],[76.737205,26.676423],[76.735354,26.676436],[76.735126,26.67687],[76.734541,26.677482],[76.735111,26.680251],[76.735334,26.682562],[76.735149,26.684764],[76.735231,26.686317],[76.735575,26.688291],[76.735749,26.691731],[76.736305,26.695104],[76.736706,26.69664],[76.736965,26.699286],[76.736837,26.701511],[76.737068,26.704322],[76.737279,26.706076],[76.736672,26.709569],[76.736604,26.711993],[76.736373,26.713144],[76.736265,26.714614],[76.736699,26.714506],[76.737274,26.714252],[76.737972,26.71357],[76.73838,26.712962],[76.738708,26.712337],[76.739173,26.711485],[76.73969,26.710388],[76.74016,26.70946],[76.740393,26.708709],[76.740634,26.708454],[76.741542,26.70806],[76.741534,26.705261],[76.742285,26.703888],[76.74259,26.70263],[76.742758,26.701977],[76.743187,26.70121],[76.743771,26.70051],[76.744255,26.699889],[76.745164,26.699046],[76.745977,26.698393],[76.746822,26.697793],[76.747683,26.697154],[76.748561,26.696742],[76.749169,26.696032],[76.74918,26.695685],[76.74923,26.694172]]]]}"
77108,Kamalpur,526,Gangapur,108,Sawai Madhopur,8,Rajasthan,322204,26.551204,76.74468,991,514,477,58,0,,,TRUE,,RJ6861SC04,RJ6861SC04-2,,,6861,RIBG,6.814848931,26.490633,76.7342377,"{""type"":""MultiPolygon"",""coordinates"":[[[[76.758331,26.558841],[76.757986,26.55807],[76.75767,26.557339],[76.757259,26.556365],[76.756816,26.555493],[76.756504,26.554922],[76.75626,26.554551],[76.755744,26.55411],[76.755296,26.55388],[76.754851,26.553748],[76.754329,26.553641],[76.753815,26.553558],[76.753423,26.553445],[76.752949,26.553264],[76.75252,26.553059],[76.752203,26.552768],[76.751987,26.552399],[76.751925,26.552031],[76.751785,26.551706],[76.751579,26.551461],[76.751329,26.551201],[76.751041,26.550822],[76.750894,26.550555],[76.750754,26.550179],[76.750687,26.549673],[76.750551,26.549322],[76.750327,26.548912],[76.750128,26.54861],[76.74996,26.548196],[76.749878,26.547776],[76.749866,26.54736],[76.749861,26.546328],[76.749801,26.545772],[76.749517,26.544946],[76.749052,26.543869],[76.748501,26.542804],[76.748022,26.541819],[76.747683,26.541192],[76.747362,26.540833],[76.747026,26.540597],[76.746599,26.540454],[76.745503,26.54018],[76.744375,26.539934],[76.74402,26.539892],[76.743443,26.539871],[76.743115,26.539869],[76.742812,26.5399],[76.742529,26.539994],[76.741875,26.540766],[76.740744,26.54193],[76.740494,26.542109],[76.739969,26.54214],[76.739506,26.542228],[76.738987,26.542464],[76.736655,26.543961],[76.73479,26.545108],[76.733047,26.546132],[76.73206,26.546657],[76.73103,26.547076],[76.732354,26.549585],[76.734413,26.553303],[76.737466,26.559146],[76.738905,26.562237],[76.739365,26.562277],[76.740251,26.562356],[76.74204,26.56246],[76.743434,26.56254],[76.746335,26.562029],[76.748671,26.560969],[76.750473,26.559838],[76.751218,26.559568],[76.754167,26.558513],[76.75544,26.558408],[76.758331,26.558841]]]]}"
76635,Bholoopura,523,Karauli,107,Karauli,8,Rajasthan,322255,26.483013,76.860947,507,298,209,0,0,,,TRUE,,RJ6861SC09,RJ6861SC09-4,,,6861,RIBG,12.63899441,26.490633,76.7342377,"{""type"":""MultiPolygon"",""coordinates"":[[[[76.867137,26.482668],[76.86693,26.482155],[76.866813,26.481673],[76.866517,26.481202],[76.865772,26.480287],[76.865321,26.479735],[76.864763,26.47869],[76.864231,26.477706],[76.863378,26.476654],[76.863116,26.47678],[76.862459,26.477041],[76.860438,26.478349],[76.859423,26.479121],[76.858454,26.479933],[76.857977,26.480391],[76.857278,26.481505],[76.85646,26.482974],[76.855663,26.483947],[76.85517,26.484388],[76.854757,26.484639],[76.856521,26.486383],[76.858683,26.48897],[76.858978,26.489372],[76.860586,26.48799],[76.862089,26.486727],[76.862535,26.486448],[76.863268,26.485828],[76.864048,26.485145],[76.865251,26.484],[76.86665,26.482928],[76.867137,26.482668]]]]}"
76636,Deeppura,523,Karauli,107,Karauli,8,Rajasthan,322255,26.490198,76.854972,351,183,168,0,0,,,TRUE,,RJ6861SC09,RJ6861SC09-4,,,6861,RIBG,12.01562986,26.490633,76.7342377,"{""type"":""MultiPolygon"",""coordinates"":[[[[76.859953,26.49252],[76.859907,26.492171],[76.859875,26.491193],[76.859802,26.490831],[76.859313,26.489827],[76.858978,26.489372],[76.858683,26.48897],[76.856521,26.486383],[76.854757,26.484639],[76.854196,26.48498],[76.852703,26.486176],[76.851659,26.487043],[76.849991,26.488775],[76.850666,26.489375],[76.854639,26.493585],[76.856449,26.495258],[76.856791,26.495439],[76.85711,26.49551],[76.858393,26.495758],[76.858892,26.495044],[76.859141,26.494362],[76.859953,26.49252]]]]}"
